frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
174,1,2085.503665233745 1385.9881317457957 2708.2272169481193 1930.7468438070437,2296.24462890625 1729.083251953125 2536.393798828125 1810.6204833984375,0.45228004455566406,AF05JED,0.21951226200602691
175,1,2083.619073421206 1392.8186179744962 2708.34766347209 1937.902279626543,2311.27099609375 1726.1099853515625 2532.7158203125 1818.4156494140625,0.3700588643550873,AP05JEO,0.3872436197719657
176,1,2077.5144154045483 1399.1687103984 2706.9735818856143 1945.3030582022511,2283.2568359375 1735.109619140625 2491.30029296875 1818.1248779296875,0.5558626055717468,AP05JEO,0.19426226535268015
177,1,2085.077895212329 1406.681259572283 2714.9981832155026 1954.0365657645045,2292.13232421875 1742.42919921875 2517.30810546875 1839.4169921875,0.5202094912528992,AP05JEO,0.5008902734200177
178,1,2087.722125888386 1411.4463394743661 2721.3746402284955 1960.7131339093899,2289.824462890625 1746.9415283203125 2511.74658203125 1838.5469970703125,0.3592666685581207,AP05JEO,0.3151650717615314
179,1,2089.557891377037 1416.142340065787 2728.353876274683 1967.7807468179074,2290.2841796875 1754.1339111328125 2553.85400390625 1847.6019287109375,0.3960898518562317,AP05JEO,0.29656794830460437
180,1,2091.6248537483334 1421.543046677829 2732.271155953028 1976.2200604976097,2299.42236328125 1763.1602783203125 2537.61328125 1854.1893310546875,0.31866246461868286,AP05JED,0.3878683991293753
181,1,2094.4613482465975 1426.669182025504 2735.7141339724203 1984.3242973393692,2320.9482421875 1775.97802734375 2549.019287109375 1863.17431640625,0.5191665887832642,AP05JED,0.19405889907635582
182,1,2094.0139372685044 1429.2470681681589 2741.5318057052627 1989.7838965754904,2337.77001953125 1778.3807373046875 2570.6962890625 1863.4581298828125,0.295691579580307,AP05JED,0.47785651605198937
183,1,2090.0600220161864 1433.9846488158157 2748.3318959650364 1995.9962983347784,2298.549560546875 1783.40185546875 2527.504638671875 1868.53271484375,0.5151364207267761,AP05JEO,0.3363697058949589
184,1,2089.351645786368 1438.9946403136955 2753.054282490466 2001.5211679749395,2309.15478515625 1777.4091796875 2546.523193359375 1876.45458984375,0.6100381016731262,AP05JEO,0.24117923937946079
185,1,2091.9560467529263 1445.8044806352668 2758.9153975917015 2009.7820156892249,2322.468017578125 1799.9937744140625 2551.98046875 1892.8516845703125,0.608616828918457,AP05JEO,0.26051167566486627
186,1,2092.3659629983645 1452.8252762712377 2763.0880704581064 2019.6676696767886,2308.82373046875 1803.33837890625 2559.9931640625 1896.308349609375,0.5768611431121826,AP05JEO,0.318231126175756
187,1,2091.9438273921396 1460.1499728336532 2765.4951786201013 2028.3247348575414,2313.6149088541665 1812.109375 2552.784423828125 1901.8955078125,0,0,0
188,1,2091.521691785915 1467.4746693960687 2767.9022867820963 2036.981800038294,2318.4060872395835 1820.88037109375 2545.57568359375 1907.482666015625,0,0,0
189,1,2091.0995561796904 1474.7993659584843 2770.3093949440913 2045.638865219047,2323.197265625 1829.6513671875 2538.366943359375 1913.06982421875,0.5833913683891296,AP05JEO,0.46680441635292896
190,1,2090.6112295107796 1479.2191306347097 2774.3534552202773 2051.7369704393655,2296.2919921875 1821.867919921875 2554.253173828125 1917.793212890625,0.2690550684928894,AP05JEO,0.6652388072485497
191,1,2087.214323110357 1487.6526032442316 2771.3516839470453 2061.580193508072,2322.211669921875 1836.20654296875 2552.0771484375 1933.87353515625,0.608799159526825,AP05JEO,0.36974331322453186
