frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
135,33.0,[2243.202251657368 1660.4720298947202 2989.089911183778 2159.404089850576],[2515.89208984375 2034.4398193359375 2744.52783203125 2135.67578125],0.6477677822113037,LM13VCV,0.2378788549954055
135,1.0,[2042.6461208353708 1215.1616385220848 2606.454606386071 1691.0168536197955],[2265.20703125 1509.6947021484375 2466.044921875 1598.18408203125],0.44483256340026855,AP05JEO,0.2297315141606092
136,6.0,[810.9891304636243 1653.126378952626 1617.4779193238446 2163.0060970212444],[1086.5926513671875 2068.05712890625 1321.3851318359375 2160.0],0.6579999923706055,GX15OGJ,0.30342116625328286
136,1.0,[2042.4177831507172 1218.4111614688306 2609.840463403489 1694.9926018698263],[2238.4482421875 1506.873046875 2446.667724609375 1599.49658203125],0.4865909516811371,AP05JEO,0.32128323862989516
136,8.0,[1101.7430957635033 1124.6049582234455 1609.402422120304 1558.742855462307],[1271.21630859375 1367.7333984375 1427.4305419921875 1457.748291015625],0.26874467730522156,KH05ZTK,0.16553841032109712
137,1.0,[2042.1413099802037 1222.8590012984987 2613.348063266895 1700.809724144527],[2249.017578125 1517.0277099609375 2465.5068359375 1615.1341552734375],0.6344544291496277,AP05JEO,0.7424673987816071
137,33.0,[2248.6905918791294 1674.8519301348338 2995.334161801225 2161.5741691779353],[2522.918701171875 2052.254150390625 2751.818115234375 2155.06396484375],0.6139399409294128,LH13VCV,0.2762212475660538
138,33.0,[2250.8650157760508 1682.6141754743708 2996.9637416155188 2161.1292159702757],[2525.11328125 2059.72412109375 2753.32666015625 2160.0],0.6423074007034302,LM13VCV,0.453557335538688
138,1.0,[2045.375274543897 1228.3098132582022 2617.284705021806 1706.941131425193],[2236.753173828125 1527.47021484375 2464.712646484375 1607.829345703125],0.5860787034034729,AP05JEO,0.3125459696531983
139,1.0,[2048.6660248859375 1231.3830240811897 2620.361402018862 1710.2110363137656],[2240.569091796875 1526.0555419921875 2446.42919921875 1604.7235107421875],0.5471788644790649,AP05JEO,0.18820199187187064
139,33.0,[2253.763666263525 1690.053019972945 2998.597157817051 2162.949308288862],[2514.61474609375 2060.36962890625 2750.9140625 2160.0],0.5063406229019165,LM13VCV,0.4148896032990698
140,1.0,[2051.0010995128405 1233.2509144380087 2624.5282692906876 1716.0379106022056],[2270.17919921875 1536.0618896484375 2460.60302734375 1609.4447021484375],0.33430594205856323,AP05JEQ,0.13779277578731286
140,8.0,[1089.687308385135 1129.221683101777 1602.0346275808897 1572.4216754937477],[1254.888671875 1389.9444580078125 1420.284912109375 1470.19970703125],0.2815280854701996,KH05ZZK,0.556466690683881
141,8.0,[1084.51258423107 1131.9251298710317 1596.826636543739 1577.8308372495037],[1258.0762939453125 1396.337646484375 1416.043212890625 1474.001220703125],0.3020258843898773,KH05ZIK,0.3989587369167226
141,1.0,[2050.5131628664894 1237.7481590921864 2626.092437521268 1724.1578731173038],[2257.076171875 1535.60595703125 2458.99169921875 1621.219482421875],0.2646508514881134,AP05JEO,0.24083843400529584
142,1.0,[2050.692939245662 1239.887641479541 2628.533606863852 1729.6234190986202],[2261.924072265625 1539.977294921875 2468.4013671875 1624.303466796875],0.3388289511203766,AP05JEO,0.1518136048275654
143,1.0,[2045.549689156006 1242.9244848982194 2627.97394858601 1736.2954894878299],[2240.93994140625 1537.928466796875 2454.860595703125 1624.91455078125],0.5332434177398682,AP05JEO,0.2587012799852486
144,1.0,[2046.7961357148713 1247.791622407422 2633.0189960410366 1744.554704904046],[2245.658203125 1549.521728515625 2440.534423828125 1633.90966796875],0.4773052930831909,AP05JEO,0.24522379327766725
145,1.0,[2047.9525494001596 1251.9972930256165 2636.193872733427 1750.2426977260782],[2268.879150390625 1555.7889404296875 2470.945556640625 1644.1702880859375],0.4072182774543762,AP05JEO,0.20351142693665705
146,8.0,[1072.0031442498957 1153.6125501182396 1586.8797389905608 1599.9477163571523],[1235.5191650390625 1414.203125 1399.9976806640625 1506.62451171875],0.545984148979187,KI05ZZK,0.1089505904738163
146,1.0,[2048.305791460004 1256.8083370434956 2638.43149297491 1757.3871514070465],[2239.414306640625 1560.8360595703125 2426.045654296875 1643.9014892578125],0.33266204595565796,AP05JEO,0.1689452754067021
147,8.0,[1068.289976519833 1157.4786674770057 1584.4742036914959 1606.7895796304615],[1232.961181640625 1415.544921875 1402.956298828125 1511.85009765625],0.5370973944664001,KM05ZZK,0.7150274570919459
147,1.0,[2048.580666692683 1260.7089577465094 2640.2138465358084 1764.1144716481745],[2256.1787109375 1573.5054931640625 2470.367431640625 1656.5299072265625],0.5099781155586243,AP05JEO,0.3062411246106741
148,8.0,[1063.1012913481684 1160.2444516577734 1582.8295082425918 1611.0003279524017],[1230.4111328125 1415.717041015625 1399.90576171875 1510.243896484375],0.5058443546295166,KH05ZZK,0.47690121872793056
148,1.0,[2045.9485450190514 1264.0765232798922 2640.7766445700436 1769.3009050694895],[2246.5439453125 1573.7720947265625 2458.81298828125 1652.9468994140625],0.48784807324409485,AP05JEO,0.59494865217524
149,1.0,[2049.919705321524 1268.495304146666 2646.9690635675333 1776.5864911306562],[2260.1298828125 1584.1611328125 2433.39892578125 1662.08642578125],0.4058159291744232,AP05JEC,0.18195511469985165
150,8.0,[1060.6391533357191 1166.933600763688 1582.7659922353464 1621.1141346045238],[1226.716064453125 1425.3189697265625 1391.6767578125 1512.134033203125],0.48065289855003357,KH15ZZK,0.1852333020193815
150,1.0,[2054.0793805362164 1273.5406691855032 2655.7936093107883 1785.0068718954562],[2269.04833984375 1586.16357421875 2449.69384765625 1659.763916015625],0.3646538257598877,AP05JEO,0.3222713771520474
151,1.0,[2055.9586088500387 1275.8436773281883 2660.409467848615 1789.729949387097],[2248.826171875 1582.4033203125 2479.0830078125 1666.0078125],0.3686562478542328,AP05JEO,0.1983446356139195
152,1.0,[2050.5327940381235 1280.3008582280572 2658.10438199779 1794.1545997967246],[2250.86572265625 1588.0821533203125 2462.9443359375 1671.7701416015625],0.5338009595870972,AP05JEO,0.6084367094257221
153,1.0,[2045.342446030395 1284.7870645557878 2657.109949555832 1800.5751900107016],[2253.0107421875 1590.674560546875 2475.64501953125 1688.899658203125],0.39906996488571167,AP05JEO,0.31836371510733796
154,1.0,[2045.0925485176897 1286.274554670974 2662.730416207349 1803.7315729800182],[2266.928466796875 1600.687744140625 2492.677734375 1699.78076171875],0.40660351514816284,AP05JEO,0.2649940838899023
156,1.0,[2053.3625226497866 1300.8115745379446 2673.314622358794 1820.0674362799523],[2276.918212890625 1613.786865234375 2496.658203125 1701.472412109375],0.4338568449020386,AP05JEO,0.3860121812327703
157,1.0,[2046.9272012674464 1302.5507048276086 2668.5603679216156 1823.0892024357172],[2266.89208984375 1618.477294921875 2495.37939453125 1699.880126953125],0.4962671399116516,AP05JEO,0.33460324757332355
158,8.0,[1034.7110309825732 1186.0606725070481 1569.6525927162068 1652.8928017477585],[1217.8382568359375 1465.8380126953125 1386.60546875 1553.6905517578125],0.4430124759674072,KH05ZZK,0.5408977385324185
158,1.0,[2047.1840839483195 1306.488705445896 2669.516400501788 1827.7793977670926],[2284.7880859375 1632.297119140625 2501.59814453125 1706.653076171875],0.3239477276802063,AP05JEO,0.17925231428478736
